ed_name,county,all_irish_speakers,never_speaks_irish_outside_education_only,not_stated,speaks_irish_daily,speaks_irish_daily_education_only,speaks_irish_less_often,speaks_irish_weekly,share_daily_of_all,share_daily_education_only_of_all,share_weekly_of_all,share_less_often_of_all,share_never_outside_education_only_of_all,share_not_stated_of_all,share_daily_any_of_all
An Leargaidh Mhór,Dún na nGall,333,50,11,36,56,146,34,0.10810810810810811,0.16816816816816818,0.1021021021021021,0.43843843843843844,0.15015015015015015,0.03303303303303303,0.27627627627627627
An Machaire,Dún na nGall,363,51,8,32,89,152,31,0.0881542699724518,0.24517906336088155,0.08539944903581267,0.418732782369146,0.14049586776859505,0.02203856749311295,0.3333333333333333
An Mhin Aird,Ciarraí,328,18,12,73,89,98,38,0.2225609756097561,0.27134146341463417,0.11585365853658537,0.29878048780487804,0.054878048780487805,0.036585365853658534,0.49390243902439024
An Rinn,Port Láirge,1125,37,31,439,238,233,147,0.39022222222222225,0.21155555555555555,0.13066666666666665,0.2071111111111111,0.03288888888888889,0.027555555555555555,0.6017777777777777
An Ráth Mhór,An Mhí,585,63,9,166,163,134,50,0.28376068376068375,0.27863247863247864,0.08547008547008547,0.22905982905982905,0.1076923076923077,0.015384615384615385,0.5623931623931624
An Sliabh Riabhach,Corcaigh,682,53,13,192,159,165,100,0.28152492668621704,0.23313782991202345,0.1466275659824047,0.24193548387096775,0.07771260997067449,0.01906158357771261,0.5146627565982405
An Spidéal,Gaillimh,1231,25,28,664,243,144,127,0.5393988627132412,0.19740048740861088,0.10316815597075549,0.11697806661251016,0.020308692120227456,0.022745735174654752,0.7367993501218522
An Sráidbhaile,Ciarraí,130,12,2,14,42,52,8,0.1076923076923077,0.3230769230769231,0.06153846153846154,0.4,0.09230769230769231,0.015384615384615385,0.4307692307692308
An Tearmann,Dún na nGall,284,51,3,42,85,81,22,0.14788732394366197,0.2992957746478873,0.07746478873239436,0.2852112676056338,0.1795774647887324,0.01056338028169014,0.4471830985915493
An Turlach,Gaillimh,466,2,25,326,66,27,20,0.6995708154506438,0.14163090128755365,0.04291845493562232,0.05793991416309013,0.004291845493562232,0.0536480686695279,0.8412017167381974
An Uillinn,Gaillimh,64,10,0,12,12,19,11,0.1875,0.1875,0.171875,0.296875,0.15625,0.0,0.375
An tImleach,Ciarraí,440,76,10,29,113,177,35,0.0659090909090909,0.25681818181818183,0.07954545454545454,0.4022727272727273,0.17272727272727273,0.022727272727272728,0.32272727272727275
Anagaire,Dún na nGall,1581,59,50,658,292,355,167,0.4161922833649589,0.1846932321315623,0.105629348513599,0.22454142947501582,0.03731815306767868,0.031625553447185324,0.6008855154965211
Anglesborough,Limerick,132,37,5,0,38,45,7,0.0,0.2878787878787879,0.05303030303030303,0.3409090909090909,0.2803030303030303,0.03787878787878788,0.2878787878787879
Anketell Grove,Monaghan,511,122,15,25,165,162,22,0.04892367906066536,0.32289628180039137,0.043052837573385516,0.31702544031311153,0.23874755381604695,0.029354207436399216,0.37181996086105673
Annaduff,Leitrim,104,25,1,7,28,35,8,0.0673076923076923,0.2692307692307692,0.07692307692307693,0.33653846153846156,0.2403846153846154,0.009615384615384616,0.33653846153846156
Annagh,Clare,230,61,5,5,72,75,12,0.021739130434782608,0.3130434782608696,0.05217391304347826,0.32608695652173914,0.26521739130434785,0.021739130434782608,0.3347826086956522
Annagh,Galway County,144,44,2,2,52,36,8,0.013888888888888888,0.3611111111111111,0.05555555555555555,0.25,0.3055555555555556,0.013888888888888888,0.375
Annagh,Sligo,90,34,9,0,17,26,4,0.0,0.18888888888888888,0.044444444444444446,0.28888888888888886,0.37777777777777777,0.1,0.18888888888888888
Annaghdown,"Galway County, 067010",600,128,20,10,175,214,53,0.016666666666666666,0.2916666666666667,0.08833333333333333,0.3566666666666667,0.21333333333333335,0.03333333333333333,0.30833333333333335
Annaghmore,Roscommon,126,36,4,1,37,43,5,0.007936507936507936,0.29365079365079366,0.03968253968253968,0.3412698412698413,0.2857142857142857,0.031746031746031744,0.30158730158730157
Annayalla,Monaghan,191,40,8,4,64,58,17,0.020942408376963352,0.33507853403141363,0.08900523560209424,0.3036649214659686,0.2094240837696335,0.041884816753926704,0.35602094240837695
Anner,Tipperary,186,56,4,1,64,53,8,0.005376344086021506,0.34408602150537637,0.043010752688172046,0.2849462365591398,0.3010752688172043,0.021505376344086023,0.34946236559139787
Annestown,Waterford,426,135,2,6,140,123,20,0.014084507042253521,0.3286384976525822,0.046948356807511735,0.2887323943661972,0.31690140845070425,0.004694835680751174,0.3427230046948357
Anny,Monaghan,155,31,5,15,38,54,12,0.0967741935483871,0.24516129032258063,0.07741935483870968,0.34838709677419355,0.2,0.03225806451612903,0.3419354838709677
Arabela,Kerry,607,149,10,23,172,209,44,0.03789126853377265,0.2833607907742998,0.07248764415156507,0.3443163097199341,0.24546952224052718,0.016474464579901153,0.3212520593080725
Ard an Rátha,Dún na nGall,479,92,11,27,118,184,47,0.05636743215031315,0.24634655532359082,0.09812108559498957,0.38413361169102295,0.19206680584551147,0.022964509394572025,0.302713987473904
Ardagh,Cork County,317,91,7,4,113,89,13,0.012618296529968454,0.35646687697160884,0.04100946372239748,0.2807570977917981,0.2870662460567823,0.022082018927444796,0.36908517350157727
Ardagh,Kerry,270,63,6,1,82,102,16,0.003703703703703704,0.3037037037037037,0.05925925925925926,0.37777777777777777,0.23333333333333334,0.022222222222222223,0.3074074074074074
Ardagh,Limerick,475,141,9,6,132,154,33,0.01263157894736842,0.27789473684210525,0.06947368421052631,0.32421052631578945,0.2968421052631579,0.018947368421052633,0.2905263157894737
Ardagh,Mayo,150,34,6,10,39,56,5,0.06666666666666667,0.26,0.03333333333333333,0.37333333333333335,0.22666666666666666,0.04,0.32666666666666666
Ardagh,Meath,242,73,10,5,68,75,11,0.02066115702479339,0.2809917355371901,0.045454545454545456,0.30991735537190085,0.30165289256198347,0.04132231404958678,0.30165289256198347
Ardagh East,Longford,270,74,8,2,95,76,15,0.007407407407407408,0.35185185185185186,0.05555555555555555,0.2814814814814815,0.2740740740740741,0.02962962962962963,0.3592592592592593
Ardagh West,Longford,204,52,4,6,61,70,11,0.029411764705882353,0.29901960784313725,0.05392156862745098,0.3431372549019608,0.2549019607843137,0.0196078431372549,0.3284313725490196
Ardamine,Wexford,1231,300,38,19,434,368,72,0.015434606011372868,0.35255889520714867,0.05848903330625508,0.29894394800974816,0.2437043054427295,0.030869212022745736,0.36799350121852153
Ardamullivan,Galway County,271,58,8,5,78,101,21,0.01845018450184502,0.2878228782287823,0.07749077490774908,0.3726937269372694,0.2140221402214022,0.02952029520295203,0.3062730627306273
Ardbraccan,Meath,963,231,25,28,304,318,57,0.029075804776739357,0.31568016614745587,0.059190031152647975,0.3302180685358255,0.2398753894080997,0.02596053997923157,0.34475597092419524
Ardcath,Meath,715,180,23,14,213,260,25,0.019580419580419582,0.29790209790209793,0.03496503496503497,0.36363636363636365,0.2517482517482518,0.032167832167832165,0.3174825174825175
Ardcavan,Wexford,1172,310,35,20,399,371,37,0.017064846416382253,0.34044368600682595,0.031569965870307165,0.3165529010238908,0.2645051194539249,0.029863481228668942,0.3575085324232082
Ardcolm,Wexford,338,97,6,17,110,93,15,0.05029585798816568,0.3254437869822485,0.04437869822485207,0.27514792899408286,0.2869822485207101,0.01775147928994083,0.3757396449704142
Ardcrony,Tipperary,274,78,3,3,81,84,25,0.010948905109489052,0.2956204379562044,0.09124087591240876,0.30656934306569344,0.2846715328467153,0.010948905109489052,0.30656934306569344
Ardea,Kerry,72,14,1,1,27,23,6,0.013888888888888888,0.375,0.08333333333333333,0.3194444444444444,0.19444444444444445,0.013888888888888888,0.3888888888888889
Ardee Rural,Louth,1109,313,24,13,392,322,45,0.011722272317403066,0.3534715960324617,0.0405770964833183,0.29035166816952207,0.2822362488728584,0.02164111812443643,0.3651938683498647
Ardee Urban,Louth,1370,390,43,28,462,382,65,0.020437956204379562,0.3372262773722628,0.04744525547445255,0.27883211678832115,0.2846715328467153,0.031386861313868614,0.35766423357664234
Arderin,Laois,122,33,3,2,43,37,4,0.01639344262295082,0.3524590163934426,0.03278688524590164,0.30327868852459017,0.27049180327868855,0.02459016393442623,0.36885245901639346
